cdno_id	fdc.nutrient	fdc.nbr	infoods
cdno:0200002	1051	255	WATER
cdno:0200003	OPEN	OPEN	DM;SOLID;SOLO
cdno:0200004	1007	207	ASH
cdno:0200005	1005;1050;1072;2039	205;205.2;284;956	OPEN
cdno:0200006	OPEN	OPEN	POLYSAC
cdno:0200007	1009	209	STARCH;STARCH-;STARCHM
cdno:0200008	1017	220	PECT
cdno:0200009	1022	225	CELLU
cdno:0200010	1021	224	HEMCEL
cdno:0200011	1403	806	INULN
cdno:0200012	OPEN	OPEN	MNSAC
cdno:0200013	1011	211	GLUFB;GLUS
cdno:0200014	1012	212	FRUFB;FRUS
cdno:0200015	OPEN	OPEN	RHAFB;RHAS
cdno:0200017	1034	238	GALAAC
cdno:0200018	OPEN	OPEN	FUCOS
cdno:0200019	1074	286	XYLFB
cdno:0200020	1073	285	ARAFB;ARAS
cdno:0200021	1075	287	GALS
cdno:0200022	1399	801	MANFB;MANS
cdno:0200023	1081	294	RIBS
cdno:0200024	OPEN	OPEN	DISAC
cdno:0200025	1010	210	SUCS
cdno:0200026	OPEN	OPEN	TRES
cdno:0200027	1014	214	MALS
cdno:0200028	1069;2064	281	OLSAC;OLSACM
cdno:0200029	OPEN	OPEN	RAFS
cdno:0200030	1076	288	RAFS
cdno:0200031	1077	289	STAS;STASM
cdno:0200032	2063	OPEN	VERS;VERSM
cdno:0200033	1005	205	CHOAVL;CHOAVL-;CHOAVLDF;CHOAVLM;CHOAVLO
cdno:0200034	1063	269.3	SUGAR;SUGAR-;SUGARM
cdno:0200035	1079;2033	291;293	FIB-;FIBC;FIBDF;FIBTGLC
cdno:0200036	1082;2035;2036;2037	293.2;295;953;954	FIBGLCSSOL;PSACNSS
cdno:0200037	1009;1071	209;283	STARES;STARES1;STARES2;STARES3;STARES4
cdno:0200038	1084;2034	293.1;297	FIBC;FIBGLCSINS;FIBGLCSINSOL;FIBINS;FIBTGLCS
cdno:0200039	OPEN	OPEN	FRUTN;FRUTNM
cdno:0200040	1003	203	PROT-
cdno:0200041	1003	203	PROTA;PROTPL
cdno:0200042	OPEN	OPEN	ALBU
cdno:0200043	OPEN	OPEN	GLOB
cdno:0200046	OPEN	OPEN	GLUTN
cdno:0200047	1222	513	ALA
cdno:0200048	1220	511	ARG
cdno:0200049	1231	525	ASN
cdno:0200050	1223	514	ASP
cdno:0200051	1216;1232	507;526	CYSTE
cdno:0200052	1224	515	GLU
cdno:0200053	1233	528	GLN
cdno:0200054	1225	516	GLY
cdno:0200055	1221	512	HIS
cdno:0200056	1228	521	HYP
cdno:0200057	1212	503	ILE
cdno:0200058	1213	504	LEU
cdno:0200059	1214	505	LYS
cdno:0200060	1215	506	MET
cdno:0200061	1217	508	PHE
cdno:0200062	1226	517	PRO
cdno:0200063	1227	518	SER
cdno:0200064	1211	502	THR
cdno:0200065	1210	501	TRP
cdno:0200066	1218	509	TYR
cdno:0200067	1219	510	VAL
cdno:0200068	1004;1085;2044	204;298;950	FATPL
cdno:0200069	OPEN	OPEN	DGLY
cdno:0200070	OPEN	OPEN	FACIS
cdno:0200082	OPEN	OPEN	PROPAC
cdno:0200111	1257	605	FATRN
cdno:0200112	OPEN	OPEN	CAPSA
cdno:0200113	1255	603	PHOLIP
cdno:0200114	OPEN	OPEN	CHLNP
cdno:0200115	OPEN	OPEN	PHOETHN
cdno:0200116	OPEN	OPEN	PHOSER
cdno:0200117	OPEN	OPEN	PHOINOTL
cdno:0200119	1256	604	GLYLIP
cdno:0200121	OPEN	OPEN	STEOTH;STERFRE;STERT
cdno:0200122	1289	642	OPEN
cdno:0200123	1253	601	CHOLEST
cdno:0200125	1283	636	PHYSTR
cdno:0200126	OPEN	OPEN	AVEDT
cdno:0200127	1296	649	AVED5
cdno:0200128	1295	648	AVED7
cdno:0200129	1287	640	BRASTR
cdno:0200130	1286	639	CAMT
cdno:0200131	1284	637	ERGSTR
cdno:0200132	OPEN	OPEN	SITSTR
cdno:0200134	1285	638	STGSTR
cdno:0200135	OPEN	OPEN	STID7
cdno:0200136	2043	300	OPEN
cdno:0200138	1087	301	CA
cdno:0200139	OPEN	OPEN	CLD
cdno:0200141	1002	202	NAM;NT
cdno:0200143	1092	306	K
cdno:0200144	1093	307	NA
cdno:0200145	1094	308	S
cdno:0200147	1132	348	AL
cdno:0200148	1133	349	SB
cdno:0200149	1134	350	AS
cdno:0200150	1137	354	B
cdno:0200151	1139	356	CD
cdno:0200152	1096	310	CR
cdno:0200153	1097	311	CO
cdno:0200154	1098	312	CU
cdno:0200155	1099	313	FD
cdno:0200156	1100	314	ID
cdno:0200157	1089	303	FE
cdno:0200158	1143	367	PB
cdno:0200159	1144	368	LI
cdno:0200160	1101	315	MN
cdno:0200161	1145	370	HG
cdno:0200162	1102	316	MO
cdno:0200163	1146	371	NI
cdno:0200164	1147	373	RB
cdno:0200165	1103	317	SE
cdno:0200166	1152	380	SR
cdno:0200167	1153	385	SN
cdno:0200168	1154	386	TI
cdno:0200169	1155	389	V
cdno:0200170	1095	309	ZN
cdno:0200171	1135	351	BA
cdno:0200172	OPEN	OPEN	CS
cdno:0200173	OPEN	OPEN	BI
cdno:0200174	OPEN	OPEN	LA
cdno:0200175	1149	375	NACL
cdno:0200177	OPEN	OPEN	NITRA;NITRI
cdno:0200178	1138	355	BRD
cdno:0200179	2046	952	OPEN
cdno:0200181	1192	437	OPEN
cdno:0200184	1165	404	THIA-
cdno:0200185	1166	405	RIBF
cdno:0200186	1167	406	NIA-
cdno:0200187	1170	410	PANTAC
cdno:0200188	1171	411	PYRXN
cdno:0200189	1176	416	BIOT
cdno:0200190	1186	431	FOLAC
cdno:0200192	1162	401	VITC;VITC-
cdno:0200193	1162	401	ASCL
cdno:0200195	1104;1106;1156;2067	318;320;392;960	VITA;VITA-;VITAA
cdno:0200196	OPEN	OPEN	CARTOID
cdno:0200197	1108	322	CARTA
cdno:0200198	1107	321	CARTB
cdno:0200199	2028	321.2	CARTB
cdno:0200200	1159	321.1	CARTBCIS
cdno:0200201	1110;1114	324;328	VITD;VITD-
cdno:0200202	1113	327	OPEN
cdno:0200203	1124;1158;2068	340;394;959	VITE;VITE-;VITEA
cdno:0200204	2055	OPEN	TOCPHT
cdno:0200205	1109	323	TOCPHA
cdno:0200206	1125	341	TOCPHB
cdno:0200207	1126	342	TOCPHG
cdno:0200208	1127	343	TOCPHD
cdno:0200209	2054	OPEN	TOCTRT
cdno:0200210	1128	344	TOCTRA
cdno:0200211	1129	345	TOCTRB
cdno:0200212	1130	346	TOCTRG
cdno:0200213	1131	347	TOCTRD
cdno:0200214	1183;1184	428;429	VITK
cdno:0200217	1057	262	CAFFN
cdno:0200219	1058	263	THEBRN
cdno:0200221	1209	470	POLYPHENT
cdno:0200222	OPEN	OPEN	TAN
cdno:0200223	1030	234	CHLRAC
cdno:0200224	OPEN	OPEN	PAPOLY;TAN
cdno:0200225	OPEN	OPEN	TAN
cdno:0200226	OPEN	OPEN	ELLAC
cdno:0200231	1368	753	EPICATEGC
cdno:0200232	1208	469	OPEN
cdno:0200233	1035	239	GALLAC
cdno:0200235	1045	249	SALAC
cdno:0200237	1207	467	VANAC
cdno:0200238	OPEN	OPEN	SYRAC
cdno:0200243	1201	461	CAFFAC
cdno:0200244	OPEN	OPEN	SINPAC
cdno:0200248	OPEN	OPEN	PCHOUAC
cdno:0200251	1204	464	FERAC
cdno:0200268	1347	729	FLAVD
cdno:0200269	OPEN	OPEN	FLAVD
cdno:0200270	1358	742	MALVIDIN
cdno:0200271	1388	786	KAEMF
cdno:0200272	1362	747	OPEN
cdno:0200273	1372	757	OPEN
cdno:0200277	1373	758	OPEN
cdno:0200278	1374	759	HESPT
cdno:0200279	OPEN	OPEN	HESPD
cdno:0200281	1375	760	OPEN
cdno:0200282	1377	762	NARING
cdno:0200283	OPEN	OPEN	NARIN
cdno:0200284	OPEN	OPEN	NARIR
cdno:0200290	1378	768	OPEN
cdno:0200294	1379	770	APIGEN
cdno:0200307	1382	773	LUTEOL
cdno:0200310	1383	781	OPEN
cdno:0200311	1391	789	QUERCE
cdno:0200314	1384	782	OPEN
cdno:0200315	1385	783	TANGER
cdno:0200319	1363;1364	748;749	CATEC;CATECT
cdno:0200321	OPEN	OPEN	GALCATEGC
cdno:0200322	OPEN	OPEN	EPICATEC
cdno:0200323	OPEN	OPEN	EPICATEC
cdno:0200324	OPEN	OPEN	GALCATEGC
cdno:0200325	OPEN	OPEN	EPICATECG3
cdno:0200326	OPEN	OPEN	EPICATEGC
cdno:0200332	OPEN	OPEN	PROCYA
cdno:0200341	1370	755	OPEN
cdno:0200351	1348	730	ANTCYAN
cdno:0200352	1349	731	CYAD
cdno:0200358	1359	743	OPEN
cdno:0200370	OPEN	OPEN	ISOFLVND
cdno:0200373	1343	713	OPEN
cdno:0200375	1340	710	DDZEIN
cdno:0200376	1341	711	GNSTEIN
cdno:0200377	1342	712	GLYCTEIN
cdno:0200380	OPEN	OPEN	GNSTIN
cdno:0200381	2051	719	GLYCTN
cdno:0200383	OPEN	OPEN	DAIDZNM
cdno:0200384	OPEN	OPEN	GNSTINM
cdno:0200385	OPEN	OPEN	GLYCTNM
cdno:0200386	OPEN	OPEN	GLYCTNA
cdno:0200390	1346	716	COUMEST
cdno:0200399	OPEN	OPEN	LIGNANS
cdno:0200402	1080	292	LIGN
cdno:0200411	1119	338.2	ZEA
cdno:0200412	2032	335	CRYPXA
cdno:0200413	1120	334	OPEN
cdno:0200414	1121	338.1	LUTN
cdno:0200415	1116	330	OPEN
cdno:0200416	OPEN	OPEN	NEOX
cdno:0200417	OPEN	OPEN	VIOLX
cdno:0200418	1122	337	LYCPN
cdno:0200419	1160	337.1	OPEN
cdno:0200420	1105	319	RETOL
cdno:0200422	1025	229	OA
cdno:0200423	1026	230	ACEAC
cdno:0200424	1032	236	CITAC
cdno:0200425	1038	243	LACAC
cdno:0200426	1038	244	LACACD
cdno:0200427	1038	245	LACACL
cdno:0200428	1039	243	MALAC
cdno:0200432	1041	245	OXALAC
cdno:0200433	OPEN	OPEN	IP6
cdno:0200434	1044	248	QUINAC
cdno:0200435	1043	247	PYRAC
cdno:0200436	OPEN	OPEN	SHIKAC
cdno:0200437	1046	250	SUCAC
cdno:0200438	1047;1048	251;252	TARAC
cdno:0200439	1037	241	ISOCAC
cdno:0200440	1040	244	OXACAC
cdno:0200441	1181	422	INOTL
cdno:0200442	1234	529	OPEN
cdno:0200443	OPEN	OPEN	BETN
cdno:0200444	OPEN	OPEN	POLYL
cdno:0200445	1055	260	MANTL
cdno:0200446	1078	290	XYLTL
cdno:0200448	1180;1194	421;450	CHOLN;CHOLNF
cdno:0200449	1293	646	FAPU;FAPULC
cdno:0200450	OPEN	OPEN	GLUMN;GLUMNM
cdno:0200451	OPEN	OPEN	GLYRL
cdno:0200454	OPEN	OPEN	ARAN
cdno:0200456	1292	645	OPEN
cdno:0200458	1258	606	FASAT
cdno:0200459	OPEN	OPEN	GALMN;GALMNM
cdno:0200460	1016	219	AMYP
cdno:0200461	1015	218	AMYS
cdno:0200463	OPEN	OPEN	MANN
cdno:0200464	2042	500	OPEN
cdno:0200466	OPEN	OPEN	GALTN
cdno:0200467	OPEN	OPEN	XYLN
cdno:0200469	OPEN	OPEN	AMYP
cdno:0200470	OPEN	OPEN	AMYS
cdno:0200473	OPEN	OPEN	MANN
cdno:0200474	OPEN	OPEN	XYLN
cdno:0200476	OPEN	OPEN	GLUMNM
cdno:0200478	OPEN	OPEN	FRUTN
cdno:0200479	OPEN	OPEN	ARAN
cdno:0200480	OPEN	OPEN	GALMN
cdno:0200481	OPEN	OPEN	GALTN
cdno:0200482	1011	211	GLUS
cdno:0200483	1011	211	GLUS
cdno:0200484	1011	211	GLUS
cdno:0200485	1012	212	FRUS
cdno:0200486	1011	211	GLUS
cdno:0200487	OPEN	OPEN	GALAAC
cdno:0200488	OPEN	OPEN	RHAS
cdno:0200490	OPEN	OPEN	GALAAC
cdno:0200491	OPEN	OPEN	FUCOS
cdno:0200492	OPEN	OPEN	XYLFB
cdno:0200493	OPEN	OPEN	ARAS
cdno:0200494	1075	287	GALS
cdno:0200495	OPEN	OPEN	RAFS
cdno:0200496	1075	287	GALS
cdno:0200497	1011	211	GLUS
cdno:0200498	1012	212	FRUS
cdno:0200499	OPEN	OPEN	STAS
cdno:0200500	1075	287	GALS
cdno:0200501	1011	211	GLUS
cdno:0200502	1012	212	FRUS
cdno:0200503	OPEN	OPEN	VERS
cdno:0200504	1075	287	GALS
cdno:0200505	1011	211	GLUS
cdno:0200506	1012	212	FRUS
cdno:0200507	1011	211	GLUFB
cdno:0200508	OPEN	OPEN	MANFB
cdno:0200509	1011	211	GLUFB
cdno:0200510	OPEN	OPEN	XYLFB
cdno:0200511	1011	211	GLUFB
cdno:0200512	OPEN	OPEN	XYLFB
cdno:0200513	1011	211	GLUFB
cdno:0200514	OPEN	OPEN	MANFB
cdno:0200515	OPEN	OPEN	ARAFB
cdno:0200516	OPEN	OPEN	XYLFB
cdno:0200517	1403	806	INULN
cdno:0200518	1012	212	FRUS
cdno:0200523	1157	393	OPEN
cdno:0200526	OPEN	OPEN	THIAHCL
cdno:0200528	1167	406	OPEN
cdno:0200530	1175	415	VITB6-
cdno:0200532	1177;1187	417;432	OPEN
cdno:0200533	OPEN	OPEN	FOLH4
cdno:0200534	1178	418	VITB12
cdno:0200536	1112	326	OPEN
cdno:0200539	1111	325	OPEN
cdno:0200540	2059	OPEN	OPEN
cdno:0200542	1183	428	MK4;MK5;MK6;MK7;MK8;MK9
cdno:0200543	1185	430	OPEN
cdno:0200544	1087	301	OPEN
cdno:0200559	1088	302	OPEN
cdno:0200570	1090	304	OPEN
cdno:0200578	1091	305	OPEN
cdno:0200592	1092	306	OPEN
cdno:0200599	1093	307	OPEN
cdno:0200619	1094	308	OPEN
cdno:0200629	2069	961	OPEN
cdno:0200632	1232	526	OPEN
cdno:0200633	1215	506	OPEN
cdno:0200639	1096	310	OPEN
cdno:0200642	1098	312	OPEN
cdno:0200645	1099	313	OPEN
cdno:0200648	1100	314	OPEN
cdno:0200651	1089	303	OPEN
cdno:0200657	1101	315	OPEN
cdno:0200661	1102	316	OPEN
cdno:0200665	1103	317	OPEN
cdno:0200670	1095	309	OPEN
cdno:0200685	1013	213	LACS
cdno:0200689	OPEN	OPEN	DEXTN
cdno:0200690	OPEN	OPEN	MALTDEX
